Title,Score,Name,Date,actions,text
" A TREAT!!
",10,personalacc-87247,14 April 2022,"
                    26 out of 36 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","How did they made this masterpiece with 100 crores??

Casting, Cinematography, Music, Visual, Editing, and screenplay was perfect!!!

WHAT A FILM!!!

THIS IS THE PRIDE OF INDIAN CINEMA!

I really hope this film beats all records!!"
" Salam Rocky Bhai... Ilaka Tera Bhai...
",9,atharvagosavi-45998,14 April 2022,"
                    24 out of 33 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ",After surpassing all expectations I definitely tell you that this movie is Superb at mass level.. Top notch at performance and music department... Addictive at world building... Gut wrenching at action department and Kingmaker as a part 2.... Also don't miss the end.. Now tsunami will come again 🔥
" Best of best
",10,yuvrajsinghbhadouria-23207,14 April 2022,"
                    23 out of 28 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ",The movie is best you should watch the movie I actually love the movie please go for it you will find crazy action and balance emotion in it it is the history present and future of Indian cinema so let's see your future.
" Just solid as gold
",10,udayshetty-87800,14 April 2022,"
                    23 out of 32 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","Story 9/10 Script 9.5/10 Screenplay 9.5/10 Direction 9.5/10 Cinematography 9.5/10 (Stunning)Visual effects 9.5/10 Music(bgm) 9.5/10 Action 9.5/10 Comedy 8.5/10 Acting 8/10..

The movie just moves like speedy bullet ..

Theatrical experience,bgm Goosebumps..🔥💥 The movie is absolutely, incredible in all aspects..

Making was top notch,perfect 10/10... Fast facing, Stunning action, crime, thriller ever made in indian cinema...

""Finally kannada movie created history in indian cinema"" ""Proud feel for kannadigas and kannada film industry"""
" Rocky UNLEASHED
",10,grarunkumar1994,14 April 2022,"
                    22 out of 32 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","KGF Chapter 2 is bigger, bolder, better and densely packed engaging screenplay and ofcourse dialogues that elevate emotions.

Especially considering it as a genre of Indian action film for the masses, this film not just surpasses expectations in quality of writing and making. It in itself sets a benchmark far beyond anything seen before.

The soundtrack is phenomenal and aids in conveying the apt emotions at the right time esp the switch of soundtracks between violent action scenes and the mother-son flashbacks.

Action scenes is as good if nt better than prequel.

Essentially KGF is the story of an ambitious strong mother and a fierce son determined enough to defeat the world to keep his promise to her.

One of the finest well made action films in world cinema."
" Just outstanding .....
",10,manishkumar-87026,14 April 2022,"
                    63 out of 77 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","Mindblownnnnn!!! What I saw on screen was the conviction and hardwork of the entire team that has worked with so much passion!! 👏🏻👏🏻👏🏻 Congrats on the well deserved humongous success.

BONAFIDE BLOCKBUSTER KGF2 is RAW, Intense, Powerful & a Mind Blowing film,#Yash officially enters the PAN INDIA Superstar league,Studded with BRILLIANT action scenes & characters to remember."
" A FILM THAT SHOULD REPRESENT INDIAN CINEMA
",10,sdrose-41994,17 April 2022,"
                    4 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","This movie should represent indian cinema's capabilities and not those garbage Bollywood starkids movies filled with Nepotism, Poor Acting and Garbage story.

The movie was even better than its predecessor and kept evryone on their toes throughout the whole runtime.

And What can we say about the Actor.

He like the Definition of an ""Alpha"" word."
" Rocky's world of KGF
",10,harishnj,14 April 2022,"
                    9 out of 11 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","KGF Chapter 2 had connected well to where its predecessor left off. The world of KGF in the film was brilliant, stunning and epic. The background score was terrific through out the film. The direction and screenplay at its best. And the amount of hard work done on each and every frame is clearly visible."
" 160 minutes of Class!
",9,kirankumarfrank,14 April 2022,"
                    14 out of 19 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","Rocky Bhai does it again. Adrenaline rush and goosebumps through out the movie. All the costumes we so good. Wish all the suits that rocky wore fit perfectly someday on me too ;). Sanjay dutt did a commendable job and they embraced the Vikings reference! Production design is out of this world and can be compared to few of the Hollywood movies. Cinematography by Bhuvan Gowda is also very good! BGM is always in perfect sync! The romance angle was bit forced, cringy and sometimes it crosses the line (the entertainment dialogue, the only dialogue which didn't get any whistle from the audience!). But speaking of entertainment, if you want a entertaining movie packed with well choreographed action, go watch it on theater soon and don't wait for OTT release."
" If you love action and enjoy entertainment this is the go to movie
",10,pathakadi-87985,14 April 2022,"
                    37 out of 45 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","The most action packed and intense movie i have seen till now in history of Indian cinema this thing was literally nuts The storyline the sound the cinematography

He literally fought so many villains and the ending omg 👑 Goosebumps guaranteed but do watch part 1 the acting by all the stars is amazing the perfect timing of almost everything didn't really like the 1st part a lot but this movie was way better if you liked first part you are going to like this one for sure."
